superkingdom	phylum	class	order	family	year	status	reference	name	taxid
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	1823	established	Taylor et al	Serratia marcescens	615
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	1835	established	Taylor et al	Bacillus subtilis	1423
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1842	established	"Bortolotti, Perrine, et al. ""Clostridium ventriculi bacteremia following acute colonic pseudo-obstruction: a case report."" Anaerobe 59 (2019): 32-34."	Clostridium ventriculi	1267
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	1853	established	Taylor et al	Leptotrichia buccalis	40542
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	1854	established	Taylor et al	Vibrio cholerae	666
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	1872	established	Taylor et al	Bacillus anthracis	1392
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	1872	established	"Seifert, Harald, Matthias Kaltheuner, and Francoise Perdreau-Remington. ""Micrococcus luteus endocarditis: case report and review of the literature."" Zentralblatt für Bakteriologie 282.4 (1995): 431-435."	Micrococcus luteus	1270
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	1872	established	Taylor et al	Pseudomonas aeruginosa	287
Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	1874	established	Taylor et al	Borrelia recurrentis	44449
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	1877	putative	"Mansouri, Parvin, et al. ""Primary cutaneous actinomycosis caused by Actinomyces bovis in a patient with common variable immunodeficiency."" The Journal of dermatology 38.9 (2011): 911-915."	Actinomyces bovis	1658
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	1878	established	"Bou, Germán, et al. ""Nosocomial outbreaks caused by Leuconostoc mesenteroides subsp. mesenteroides."" Emerging infectious diseases 14.6 (2008): 968."	Leuconostoc mesenteroides	1245
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	1880	established	Taylor et al	Chromobacterium violaceum	536
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	1880	established	Taylor et al	Clostridium butyricum	1492
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	1880	established	Taylor et al	Mycobacterium leprae	1769
Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	1880	established	"Nasu, Yoshiyuki, et al. ""A case of Paenibacillus polymyxa bacteremia in a patient with cerebral infarction."" Kansenshogaku zasshi. The Journal of the Japanese Association for Infectious Diseases 77.10 (2003): 844-848."	Paenibacillus polymyxa	1406
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	1883	established	Taylor et al	Mycobacterium tuberculosis	1773
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	1884	established	Taylor et al	Staphylococcus aureus	1280
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1884	established	Taylor et al	Streptococcus pneumoniae	1313
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1884	established	Taylor et al	Streptococcus pyogenes	1314
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	1885	established	Taylor et al	Burkholderia mallei	13373
