TAXID	NAME	SOURCE	LOCATION	HOST	DISEASE
46125	Abiotrophia defectiva	Human clinical samples		human	endocarditis
32002	Achromobacter denitrificans	nasopharynx	USA:Kansas	cattle; human	bacteremia; infections
72556	Achromobacter piechaudii	Human clinical samples		human	bacteremia; infections
562971	Achromobacter xylosoxidans C54	non-cystic fibrosis bronchiectasis sputum		human	bacteremia; infections
85698	Achromobacter xylosoxidans	Broviac blood; sputum; lung;pus	USA:DC; USA: Minneapolis; Japan	human	bacteremia; infections
905	Acidaminococcus fermentans	Human clinical samples		whales; human	Unknown
397945	Acidovorax citrulli AAC00-1	fruit		cucumber family	Bacterial fruit blotch
696749	Acinetobacter baumannii 1656-2	Human clinical samples		human	Nosocomial infections
470	Acinetobacter baumannii	Bodily fluid; human clinical samples	Colombia; UK; Canada; US; Malaysia; India; Australia; South Korea; China	human	Nosocomial infections
480119	Acinetobacter baumannii AB0057	bloodstream infection of a patient at Walter Reed Army Medical Center	Walter Reed Army Medical Center	human	Nosocomial infections
1413216	Acinetobacter baumannii AB07	wound infection of a hospitalized patient	India: Pondicherry	human	Nosocomial infections
557600	Acinetobacter baumannii AB307-0294	the blood of a hospitalized patient	USA: Buffalo NY	human	Nosocomial infections
405416	Acinetobacter baumannii ACICU	outbreak	Rome	human	Nosocomial infections
400667	Acinetobacter baumannii ATCC 17978	case of meningitis		human	Nosocomial infections
509173	Acinetobacter baumannii AYE	Human clinical samples		human	Nosocomial infections
1096995	Acinetobacter baumannii BJAB07104	Blood	China: Beijing	human	Nosocomial infections
1096996	Acinetobacter baumannii BJAB0715	cerebrospinal fluid	China: Beijing	human	Nosocomial infections
1096997	Acinetobacter baumannii BJAB0868	ascites	China: Beijing	human	Nosocomial infections
1455315	Acinetobacter baumannii LAC-4	unavailable	USA: Los Angeles County; California	human	Bacterial infection
497978	Acinetobacter baumannii MDR-ZJ06	Human clinical samples		human	Nosocomial infections
509170	Acinetobacter baumannii SDF	body lice collected from hoMeless people living	France	sucking lice; humanus	Nosocomial infections
106648	Acinetobacter berezinae	Human clinical samples		human	Bloodstream infection
471	Acinetobacter calcoaceticus	Human clinical samples		mosquito; human; white birch; bees; house fly; Plectranthus barbatus; black nightshade; cultivated oats; quickbeam; Gynura procumbens; eudicots; Lantana camara; ginger; Turbo kenwilliamsi; butterflies; ribgrass	infections
29430	Acinetobacter haemolyticus	Human clinical samples		mosquitos; house fly; human; Colorado potato beetle; eudicots	Bloodstream infection
40214	Acinetobacter johnsonii	Human clinical samples		beet; mosquitos; human; Ulva rigida; tiger puffer; poplars; Tectona grandis; Mexican yew	Bloodstream infection
40215	Acinetobacter junii	Human clinical samples		mosquito; human; Ulva rigida; fungi; Nicotiana attenuata; stone flounder; fishes; channel catfish; Amur sturgeon; Apocynum venetum	Bloodstream infection
28090	Acinetobacter lwoffii	Human clinical samples		narrowleaf purple coneflower; mosquito; mosquitos; sweet banana; human; tiger puffer; Ulva australis; poplars; Chinese forest musk deer; beetles; maize; Mexican yew	Bloodstream infection
134533	Acinetobacter parvus	Human clinical samples		human	Bloodstream infection
40216	Acinetobacter radioresistens	Human clinical samples		mosquito; mosquitos; human; eudicots; African oil palm	Bloodstream infection
465797	Acinetobacter septicus	Human clinical samples		human	Bloodstream infection
108980	Acinetobacter ursingii	Human clinical samples		Jayanti rohu; human	Bloodstream infection
106654	Acinetobacter nosocomialis strain 6411	Excreted bodily substance	Colombia	human	infections
1324350	Acinetobacter sp. 114	ungulates dung	Germany:Minsleben	ungulates	infections
202947	Actinobacillus equuli subsp. equuli 19392			pig; ungulates	sleepy foal disease
719	Actinobacillus hominis			human	infections
720	Actinobacillus lignieresii			whales; cattle; human	Opportunistic infections
434271	Actinobacillus pleuropneumoniae serovar 3 str. JL03			pig	Fibrinous pleuropneumonia; Necrotizing pleuropneumonia
416269	Actinobacillus pleuropneumoniae serovar 5b str. L20			pig	Fibrinous pleuropneumonia; Necrotizing pleuropneumonia
537457	Actinobacillus pleuropneumoniae serovar 7 str. AP76	pig lung		pig	Fibrinous pleuropneumonia; Necrotizing pleuropneumonia
754345	Actinobacillus pleuropneumoniae serovar 8	pig lung		pig	Fibrinous pleuropneumonia; Necrotizing pleuropneumonia
696748	Actinobacillus suis H91-0380	pig with septicemia		pig	Septicemia
723	Actinobacillus ureae			human	infections
59505	Actinobaculum schaalii strain CCUG 27420	Human blood; chronic pyelonephritis;64-yr-old man	Sweden: Kristianstad	human	infections
240840	Actinomadura meyerae	Human clinical samples		human	infections
1993	Actinomadura madurae	Human clinical samples		human	infections
111805	Actinomadura pelletieri	Human clinical samples		human	infections
181487	Actinomyces cardiffensis	Human clinical samples		human	actinomycosis
272548	Actinomyces dentalis	Human clinical samples		human	dental abcesses
52767	Actinomyces denticolens	Human clinical samples		human	abcesses
132933	Actinomyces funkei	Human clinical samples		human	actinomycosis
52768	Actinomyces georgiae	Human clinical samples		human	actinomycosis
52769	Actinomyces gerencseriae	Human clinical samples		human	actinomycosis
55565	Actinomyces graevenitzii	Human clinical samples		human	actinomycosis
1659	Actinomyces israelii	Human clinical samples		human	actinomycosis
461393	Actinomyces massiliensis	Human clinical samples		human	infections
52773	Actinomyces meyeri strain W712	curette	United Kingdom: London	human	actinomycosis; brain abcesses
1655	Actinomyces naeslundii	human oral cavity		human	actinomycosis; periodontitis
33007	Actinomyces neuii	Human clinical samples		human	actinomycosis
1660	Actinomyces odontolyticus	Human clinical samples		human	actinomycosis
206043	Actinomyces oricola	dental abcess		human	dental abcesses
544580	Actinomyces oris strain T14V	human oral cavity	USA: Boston; MA	human	periodontitis
111015	Actinomyces radicidentis strain CCUG 36733	human oral cavity	Sweden	human	periodontitis
131110	Actinomyces radingae	Human clinical samples		human	actinomycosis
131111	Actinomyces turicensis	Human clinical samples		human	infections
103621	Actinomyces urogenitalis	Human clinical samples		human	bacteremia
1656	Actinomyces viscosus	Human clinical samples		human; Canis dog	actinomycosis
712122	Actinomyces sp. oral taxon 414 strain F0588	curette	USA: Boston; MA	human	periodontitis
1384484	Adlercreutzia equolifaciens DSM 19450	human faeces		human	Unknown
87541	Aerococcus christensenii strain CCUG28831	Human vagina	USA: Washington	human	bacterial vaginosis
119206	Aerococcus sanguinicola strain CCUG43001	Human blood	Denmark: Esbjerg	human	bacteremia; UTI
866775	Aerococcus urinae ACS-120-V-Col10a	Human clinical samples		human	bacteremia; UTI
1376	Aerococcus urinae strain CCUG36881	Human urine	Denmark: Copenhagen	human	bacteremia; UTI
51665	Aerococcus urinaeequi strain CCUG28094	Equus caballusurine (ungulates)	Not applicable	ungulates	bacteremia; UTI
51665	Aerococcus urinaeequi strain USDA-ARS-USMARC-56713	nasopharynx	USA:Kansas	cattle	bacteremia; UTI
128944	Aerococcus urinaehominis strain CCUG42038B	Human urine	Sweden: Linkoping	human	bacteremia; UTI
1377	Aerococcus viridans	Human clinical samples		cattle; human	bacteremia
642	Aeromonas aquariorum	Human clinical samples		human	septicemia
105751	Aeromonas bestiarum	Human clinical samples		European freshwater eel; Atlantic salmon; human; sea lampreys; Onchorhynchus mykiss	infections
648	Aeromonas caviae strain FDAARGOS_72	Stool	USA	human	traveler's diarrhea
648	Aeromonas caviae strain FDAARGOS_75	Stool	USA	human	traveler's diarrhea
29489	Aeromonas enteropelogenes	Human clinical samples		black pomfret; mosquito; mosquitos; human; red swamp crayfish	infections
1418110	Aeromonas hydrophila AL09-71		USA: Alabama	channel catfish	Wound infection; abscesses; septicaemia; meningitis; leech-bite infection; alligator-bite infection; acute diarrhoea
